temporary_task_id|parent_temporary_id|task_code|task_description|age_from|age_to|difficulty|allows_note|subcategory|category|assessment_type
140||31|Kruh|3|3.5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
141||32|Spirála|4|4.5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
142||33|Vlnovka|4|5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
143||34|Šikmá čára|4|5|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
144||35|Zuby|5.5||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
145||36|Horní smyčka|5.5||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
146||37|Spodní smyčka|5.5|6|||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
147||38|Horní oblouk s vratným tahem|6||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
148||39|Spodní oblouk s vratným tahem|6||||Grafomotorické prvky|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
149||40|Držení tužky|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
150||41|Postavení ruky|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
151||42|Uvolnění ruky, tlak na podložku|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
152||43|Plynulost tahů|0|||1|Návyky při kreslení|Hrubá motorika, grafomotorika a kresba|slovné hodnocení
153||44|Čára mezi dvěma liniemi (dráhy)|4||||Vizuomotorika|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
154||45|Jedna linie / rozcvičovací cviky|4.5|5|||Vizuomotorika|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
155||46|Překreslí obrázek dle předlohy|6||||Vizuomotorika|Hrubá motorika, grafomotorika a kresba|Nezvládá / zvládá s dopomocí / zvládá samostatně
156||47|Navlékání korálků|0||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
157||48|Zasouvání kostek do otvorů|1||||Lateralita ruky|Hrubá motorika, grafomotorika a kresba|pravá ruka / levá ruka / ruce střídá
